Date,Open,High,Low,Close ,Volume
10-Oct-24,5778.36,5795.03,5764.76,5780.05,3208790000
9-Oct-24,5751.8,5796.8,5745.02,5792.04,3650340000
8-Oct-24,5719.14,5757.6,5714.56,5751.13,3393400000
7-Oct-24,5737.8,5739.34,5686.85,5695.94,3637790000
4-Oct-24,5737.48,5753.21,5702.83,5751.07,3479400000
3-Oct-24,5698.19,5718.78,5677.37,5699.94,3597450000
2-Oct-24,5698.14,5719.63,5674,5709.54,3829050000
1-Oct-24,5757.73,5757.73,5681.28,5708.75,4025180000
30-Sep-24,5726.52,5765.14,5703.53,5762.48,4425730000
27-Sep-24,5755.36,5763.78,5727.34,5738.17,3898530000
26-Sep-24,5762.22,5767.37,5721.01,5745.37,4391180000
25-Sep-24,5733.65,5741.03,5712.06,5722.26,3624910000
24-Sep-24,5727.66,5735.32,5698.99,5732.93,3872710000
23-Sep-24,5711.9,5725.36,5704.22,5718.57,3529550000
20-Sep-24,5709.64,5715.14,5674.49,5702.55,7867260000
19-Sep-24,5702.63,5733.57,5686.42,5713.64,4024530000
18-Sep-24,5641.68,5689.75,5615.08,5618.26,3691390000
17-Sep-24,5655.51,5670.81,5614.05,5634.58,3443600000
16-Sep-24,5615.21,5636.05,5604.53,5633.09,3437070000
13-Sep-24,5603.34,5636.27,5601.65,5626.02,3500790000
12-Sep-24,5557.48,5600.71,5535.5,5595.76,3655070000
11-Sep-24,5496.42,5560.41,5406.96,5554.13,3839450000
10-Sep-24,5490.51,5497.91,5441.72,5495.52,3848180000
9-Sep-24,5442.07,5484.2,5434.49,5471.05,3825940000
6-Sep-24,5507.33,5522.47,5402.62,5408.42,3822800000
5-Sep-24,5520.08,5546.3,5480.54,5503.41,3521650000
4-Sep-24,5506.68,5552.99,5503.66,5520.07,3478140000
3-Sep-24,5623.89,5623.89,5504.33,5528.93,3866350000
30-Aug-24,5612.74,5651.37,5581.79,5648.4,4185850000
29-Aug-24,5607.3,5646.95,5583.71,5591.96,3065640000
